"source_row"	"event_time"	"return_time"	"ack_time"	"site"	"area"	"unit"	"tag"	"description"	"priority"	"state"	"value"	"threshold"	"engineering_unit"	"source_system"	"operator"
"2"	"2026-01-15T08:00:00+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_04"	""	"SYNTHETIC-ALARM_FLOOD-014"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P1"	"ACTIVE"	"63.69"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	""
"3"	"2026-01-15T08:00:02+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_03"	"SYNTHETIC_UNIT_01"	"SYNTHETIC-ALARM_FLOOD-006"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P2"	"ACTIVE"	"67.79"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_02"
"4"	"2026-01-15T08:00:04+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_02"	"SYNTHETIC-ALARM_FLOOD-014"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P3"	"ACTIVE"	"82.56"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_03"
"5"	"2026-01-15T08:00:06+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_04"	"SYNTHETIC_UNIT_06"	"SYNTHETIC-ALARM_FLOOD-009"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P4"	"ACTIVE"	"45.17"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_04"
"6"	"2026-01-15T08:00:08+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_06"	"SYNTHETIC-ALARM_FLOOD-021"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P1"	"ACTIVE"	"74.86"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_05"
"7"	"2026-01-15T08:00:10+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_03"	"SYNTHETIC_UNIT_03"	"SYNTHETIC-ALARM_FLOOD-001"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P2"	"ACTIVE"	"41.31"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_01"
"8"	"2026-01-15T08:00:12+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_01"	"SYNTHETIC_UNIT_05"	"SYNTHETIC-ALARM_FLOOD-005"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P3"	"ACTIVE"	"75.36"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_02"
"9"	"2026-01-15T08:00:14+08:00"	""	""	"SYNTHETIC_SITE_02"	"SYNTHETIC_AREA_03"	"SYNTHETIC_UNIT_04"	"SYNTHETIC-ALARM_FLOOD-011"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P4"	"ACTIVE"	"58.65"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_03"
"10"	"2026-01-15T08:00:16+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_02"	"SYNTHETIC_UNIT_02"	"SYNTHETIC-ALARM_FLOOD-003"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P1"	"ACTIVE"	"72.58"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_04"
"11"	"2026-01-15T08:00:18+08:00"	""	""	"SYNTHETIC_SITE_01"	"SYNTHETIC_AREA_03"	"SYNTHETIC_UNIT_06"	"SYNTHETIC-ALARM_FLOOD-009"	"[SYNTHETIC] ALARM_FLOOD 合成报警场景"	"P2"	"ACTIVE"	"41.03"	"75.00"	"SYNTHETIC_UNIT_VALUE"	"SYNTHETIC_DCS"	"SYNTHETIC_OPERATOR_05"
