source_row,event_time,return_time,ack_time,site,area,unit,tag,description,priority,state,value,threshold,engineering_unit,source_system,operator
2,2026-01-15T08:00:00+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_04,,SYN-01-001,合成报警：入口压力偏高,P1,ACTIVE,63.69,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,
3,2026-01-15T08:00:02+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_01,SYN-01-001,[SYNTHETIC] Outlet temperature deviation observed,P2,ACTIVE,67.79,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员02
4,2026-01-15T08:00:04+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_02,SYN-01-001,合成报警：循环水流量波动，已请求现场核对,P3,ACTIVE,82.56,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员03
5,2026-01-15T08:00:06+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_04,SYNTHETIC_UNIT_06,SYN-01-002,[SYNTHETIC] 中文与 English 混合描述，用于验证较长文本在页面和报告中的显示一致性,P4,ACTIVE,45.17,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员04
6,2026-01-15T08:00:08+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_06,SYN-01-002,合成报警：入口压力偏高,P1,ACTIVE,74.86,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员05
7,2026-01-15T08:00:10+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_03,SYN-01-002,[SYNTHETIC] Outlet temperature deviation observed,P2,ACTIVE,41.31,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,
8,2026-01-15T08:00:12+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_01,SYNTHETIC_UNIT_05,SYN-01-003,合成报警：循环水流量波动，已请求现场核对,P3,ACTIVE,75.36,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员07
9,2026-01-15T08:00:14+08:00,,,SYNTHETIC_SITE_02,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_04,SYN-01-003,[SYNTHETIC] 中文与 English 混合描述，用于验证较长文本在页面和报告中的显示一致性,P4,ACTIVE,58.65,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员01
10,2026-01-15T08:00:16+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_02,SYNTHETIC_UNIT_02,SYN-01-003,合成报警：入口压力偏高,P1,ACTIVE,72.58,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_DCS,合成操作员02
11,2026-01-15T08:00:18+08:00,,,SYNTHETIC_SITE_01,SYNTHETIC_AREA_03,SYNTHETIC_UNIT_06,SYN-01-004,[SYNTHETIC] Outlet temperature deviation observed,P2,ACTIVE,41.03,75.00,SYNTHETIC_UNIT_VALUE,SYNTHETIC_SCADA,合成操作员03
